sample_id,manual_rheed_filename,inferred_stage,approved_stage,comparable_stage_group,stage_confidence,user_approved,user_notes
6022,select_After_GaSb.jpg,after_growth,after_growth,post_GaSb_before_cooldown,high,1,"Clearly appears to be after GaSb deposition and before an explicitly named cooldown stage"
6028,select_GaSb.jpg,active_growth,active_growth,GaSb_growth_time_unspecified,medium,1,"GaSb stage is clear but the exact growth time is not specified"
6029,select_after_ramping_down_GaSb.jpg,rampdown_or_cooldown,rampdown_or_cooldown,temperature_transition_to_GaSb_conditions,medium,1,"Most likely after ramping the substrate temperature down to GaSb growth conditions rather than final post-growth cooldown"
6033,select_15min_of_GaSb.jpg,active_growth,active_growth,GaSb_growth_15min,high,1,"Filename explicitly indicates 15 minutes into GaSb growth"
6043,select_after_ramping_to_GaSb.jpg,after_growth,rampdown_or_cooldown,temperature_transition_to_GaSb_conditions,medium,1,"Interpreted as after ramping to the GaSb growth condition; most likely a temperature-transition frame rather than after GaSb deposition"
6047,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates completion of rampdown to 200 C"
6048,select_after_rampdown.jpg,rampdown_or_cooldown,rampdown_or_cooldown,rampdown_temperature_unspecified,low,1,"Rampdown is clear but the target temperature and whether it is pre-growth or post-growth are not specified"
6056,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates completion of rampdown to 200 C"
6057,select_GaSb_2min.jpg,active_growth,active_growth,GaSb_growth_early_2_6min,high,1,"Filename explicitly indicates 2 minutes into GaSb growth"
6062,select_after_rampdown_to_300C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_300C,high,1,"Filename explicitly indicates completion of rampdown to 300 C"
6063,select_rampdown_to_300C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_300C,high,1,"Filename explicitly indicates a rampdown stage targeting 300 C"
6070,select_rampdown_to_300C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_300C,high,1,"Filename explicitly indicates a rampdown stage targeting 300 C"
6072,select_rampdown_to_250C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_250C,high,1,"Filename explicitly indicates a rampdown stage targeting 250 C"
6078,select_GaSb_6min.jpg,active_growth,active_growth,GaSb_growth_early_2_6min,high,1,"Filename explicitly indicates 6 minutes into GaSb growth"
6080,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates completion of rampdown to 200 C"
6081,select_after_rampdown_for_GaSB.jpg,rampdown_or_cooldown,rampdown_or_cooldown,temperature_transition_to_GaSb_conditions,medium,1,"The phrase for GaSb most likely means a temperature ramp performed in preparation for GaSb growth"
6082,select_after_rampdown_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates completion of rampdown to 200 C"
6084,select_after_ramping_down_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates completion of rampdown to 200 C"
6085,select_ramping_down_to_300C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_300C,high,1,"Filename explicitly indicates an ongoing rampdown toward 300 C"
6090,select_rampdown_to_200C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_200C,high,1,"Filename explicitly indicates a rampdown stage targeting 200 C"
6094,select_GaSb_5min.jpg,active_growth,active_growth,GaSb_growth_early_2_6min,high,1,"Filename explicitly indicates 5 minutes into GaSb growth"
6095,select_rampdown_to_250C.jpg,rampdown_or_cooldown,rampdown_or_cooldown,post_growth_cooldown_250C,high,1,"Filename explicitly indicates a rampdown stage targeting 250 C"
6097,select_2min_GaSb.jpg,active_growth,active_growth,GaSb_growth_early_2_6min,high,1,"Filename explicitly indicates 2 minutes into GaSb growth"
6099,select_ramping_to_650C.jpg,unknown,rampup_or_heating,temperature_ramp_to_650C,high,1,"Filename explicitly indicates heating or ramping toward 650 C"
6101,select_150_min_GaSb.jpg,active_growth,active_growth,GaSb_growth_150min,medium,1,"Assumes 150 minutes is literal; verify whether the filename might mean 15.0 minutes"
