mode,row_id,sample_id,group_id,prototype_id,generated_index,rank,generated_std,generated_min,generated_max,generated_rq,requested_rq,generated_ra,requested_ra,generated_robust_range,requested_robust_range,generated_mean_abs_gradient,requested_mean_abs_gradient,generated_gradient_std,requested_gradient_std,generated_gradient_anisotropy,requested_gradient_anisotropy,generated_psd_low_power,requested_psd_low_power,generated_psd_mid_power,requested_psd_mid_power,generated_psd_high_power,requested_psd_high_power,generated_psd_slope,requested_psd_slope,generated_autocorrelation_length_px,requested_autocorrelation_length_px,generated_island_count,requested_island_count,generated_island_mean_area_px,requested_island_mean_area_px
mvp3_v2_predicted,afm_00012_ea2686bd44,6058,6058,,0,,0.6273565888404846,-0.9962080121040344,0.9999423027038574,0.6273566138963778,4.635928406,0.5490925521094547,3.513551951,1.965979375243187,19.88666971,0.15772690877451478,0.730225328,0.12362682175476497,0.6065121223,0.1520571034691109,0.2222464348,9.037047041771096,13.56131296,3.815854547574294,9.148151603,1.206485911279312,5.950890971,-4.052670176650846,-3.660344624,7.0,16.35963605,22.0,123.1687971,186.1818181818182,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,0,,0.3811497390270233,-0.9964169859886169,0.9850758910179138,0.38114973130389035,4.635928406,0.3073084000252819,3.513551951,1.7226940482854844,19.88666971,0.12088516775383618,0.730225328,0.07891513722182934,0.6065121223,0.08372491497268604,0.2222464348,8.468743691902556,13.56131296,3.237537878309639,9.148151603,0.582329405564445,5.950890971,-4.25407327605206,-3.660344624,6.0,16.35963605,47.0,123.1687971,87.14893617021276,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,1,,0.38459905982017517,-0.9979041814804077,0.979674220085144,0.384599070077767,4.635928406,0.3080934919269363,3.513551951,1.7649813848733902,19.88666971,0.11757808909636626,0.730225328,0.07991870959937268,0.6065121223,0.10245785273348895,0.2222464348,8.500823880941322,13.56131296,3.4368724494221126,9.148151603,0.6028986115093071,5.950890971,-4.231414600297375,-3.660344624,6.0,16.35963605,44.0,123.1687971,93.0909090909091,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,2,,0.38692304491996765,-0.986295223236084,0.9531216621398926,0.3869230413256831,4.635928406,0.3146162643011602,3.513551951,1.6699523520469666,19.88666971,0.13018065674279605,0.730225328,0.08547188677127482,0.6065121223,0.21401071656957585,0.2222464348,8.635351314558083,13.56131296,3.4074460266649202,9.148151603,0.6206698050486619,5.950890971,-4.258394944329806,-3.660344624,5.0,16.35963605,47.0,123.1687971,87.14893617021276,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,3,,0.37904641032218933,-0.9974189400672913,0.9294453859329224,0.3790464150978294,4.635928406,0.3080879792073319,3.513551951,1.6692998135089874,19.88666971,0.12818067931527025,0.730225328,0.08451961500626178,0.6065121223,0.10045474789505617,0.2222464348,8.556101518733128,13.56131296,3.187356619641014,9.148151603,0.5904369611676893,5.950890971,-4.275080224259824,-3.660344624,5.0,16.35963605,48.0,123.1687971,85.33333333333333,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,4,,0.3703031837940216,-0.9931073188781738,0.9994299411773682,0.3703031714486258,4.635928406,0.30039409480113455,3.513551951,1.6356096708774568,19.88666971,0.12227207770751455,0.730225328,0.08059281236688294,0.6065121223,0.09393287359046586,0.2222464348,8.469502524163788,13.56131296,3.1433350334956733,9.148151603,0.5491359096098235,5.950890971,-4.2916147752899,-3.660344624,5.0,16.35963605,39.0,123.1687971,105.02564102564102,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,5,,0.37349000573158264,-0.9979602694511414,0.9558538794517517,0.37348998563597946,4.635928406,0.30292240870850506,3.513551951,1.621271792650223,19.88666971,0.12843142551146042,0.730225328,0.08422701406484086,0.6065121223,0.12595668105346008,0.2222464348,8.516274717890974,13.56131296,3.1487940265900507,9.148151603,0.5757294329541482,5.950890971,-4.252962031050492,-3.660344624,5.0,16.35963605,63.0,123.1687971,65.01587301587301,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,6,,0.3763846158981323,-0.9972671270370483,0.9831798076629639,0.37638461136140144,4.635928406,0.2995019682156335,3.513551951,1.7193368291854858,19.88666971,0.12184355610681927,0.730225328,0.08484798239041363,0.6065121223,0.08898601449256219,0.2222464348,8.530818818610662,13.56131296,3.185519050151691,9.148151603,0.5743654658194297,5.950890971,-4.292250206763703,-3.660344624,5.0,16.35963605,49.0,123.1687971,83.59183673469387,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,7,,0.3831157982349396,-0.9820833802223206,0.9928110837936401,0.38311578652378037,4.635928406,0.3138763260193176,3.513551951,1.6516419786214829,19.88666971,0.12611777326579854,0.730225328,0.08267322713733918,0.6065121223,0.09061360093851421,0.2222464348,8.584987841307306,13.56131296,3.3513653349291626,9.148151603,0.5892540266986646,5.950890971,-4.276989524914218,-3.660344624,5.0,16.35963605,48.0,123.1687971,85.33333333333333,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,8,,0.3608523905277252,-0.9957241415977478,0.999204695224762,0.36085241043313854,4.635928406,0.28404352513787123,3.513551951,1.668603370189667,19.88666971,0.11621027126767863,0.730225328,0.07710067832675803,0.6065121223,0.1376638399137625,0.2222464348,8.408905484776179,13.56131296,3.150665724117862,9.148151603,0.5753571819471973,5.950890971,-4.239470270516647,-3.660344624,6.0,16.35963605,50.0,123.1687971,81.92,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,9,,0.3692820072174072,-0.9884894490242004,0.9878008365631104,0.3692819895876314,4.635928406,0.2974119290848164,3.513551951,1.6683040487766265,19.88666971,0.12625334351175094,0.730225328,0.08091544688090588,0.6065121223,0.022186570789483828,0.2222464348,8.530516631712738,13.56131296,3.3302973541610976,9.148151603,0.5991945882479315,5.950890971,-4.2382912888658275,-3.660344624,5.0,16.35963605,40.0,123.1687971,102.4,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,10,,0.36852192878723145,-0.9979311227798462,0.9974136352539062,0.36852193830631597,4.635928406,0.29621005843652265,3.513551951,1.7118466037511826,19.88666971,0.12406235966994689,0.730225328,0.08538064856357352,0.6065121223,0.1374057461805577,0.2222464348,8.530172505600875,13.56131296,3.282757518422785,9.148151603,0.594929331691375,5.950890971,-4.2238014447267815,-3.660344624,5.0,16.35963605,48.0,123.1687971,85.33333333333333,648.8019125
v3_predicted_plain,afm_00012_ea2686bd44,6058,6058,,11,,0.3582077920436859,-0.9887264966964722,0.9725276827812195,0.3582077897842698,4.635928406,0.28526032486055786,3.513551951,1.7073980867862701,19.88666971,0.12036098837068124,0.730225328,0.08207826103498586,0.6065121223,0.06620978677111826,0.2222464348,8.54272599672382,13.56131296,3.521176920892247,9.148151603,0.6208928156597189,5.950890971,-4.1988324046377326,-3.660344624,5.0,16.35963605,55.0,123.1687971,74.47272727272727,648.8019125
