sample_id,growth_run_id,afm_file_id,plane_corrected_array_path,rq_nm,split
6033,6033,N6033_1um_015,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,3.8342809677124023,test
6033,6033,N6033_1um_016,data/plane_corrected_afm/6033/N6033_1um_016/N6033_1um_016_plane_corrected.npy,2.529371976852417,test
6033,6033,N6033_1um_017,data/plane_corrected_afm/6033/N6033_1um_017/N6033_1um_017_plane_corrected.npy,2.529371976852417,test
6033,6033,N6033_1um_018,data/plane_corrected_afm/6033/N6033_1um_018/N6033_1um_018_plane_corrected.npy,2.549088716506958,test
6081,6081,N6081_1um_000,data/plane_corrected_afm/6081/N6081_1um_000/N6081_1um_000_plane_corrected.npy,0.9417254328727722,test
6081,6081,N81_Ctr_000,data/plane_corrected_afm/6081/N81_Ctr_000/N81_Ctr_000_plane_corrected.npy,3.1814770698547363,test
6081,6081,N81_Edg_000,data/plane_corrected_afm/6081/N81_Edg_000/N81_Edg_000_plane_corrected.npy,5.771374702453613,test
6094,6094,N6081_1um_000,data/plane_corrected_afm/6094/N6081_1um_000/N6081_1um_000_plane_corrected.npy,1.1276254653930664,test
6094,6094,N6094_150nm_002,data/plane_corrected_afm/6094/N6094_150nm_002/N6094_150nm_002_plane_corrected.npy,4.126557350158691,test
6094,6094,N6094_1_um_008,data/plane_corrected_afm/6094/N6094_1_um_008/N6094_1_um_008_plane_corrected.npy,1.390846610069275,test
6094,6094,N6094_1um_000,data/plane_corrected_afm/6094/N6094_1um_000/N6094_1um_000_plane_corrected.npy,4.153931140899658,test
6094,6094,N6094_1um_005,data/plane_corrected_afm/6094/N6094_1um_005/N6094_1um_005_plane_corrected.npy,1.3001524209976196,test
6094,6094,N6094_1um_Edge_005,data/plane_corrected_afm/6094/N6094_1um_Edge_005/N6094_1um_Edge_005_plane_corrected.npy,3.926283597946167,test
6094,6094,N6094_1um_edge,data/plane_corrected_afm/6094/N6094_1um_edge/N6094_1um_edge_plane_corrected.npy,4.058175086975098,test
6094,6094,N6094_1um_edge_002,data/plane_corrected_afm/6094/N6094_1um_edge_002/N6094_1um_edge_002_plane_corrected.npy,4.126557350158691,test
6094,6094,N6094_1um_edge_003,data/plane_corrected_afm/6094/N6094_1um_edge_003/N6094_1um_edge_003_plane_corrected.npy,4.414046764373779,test
6094,6094,N6094_1um_edge_006,data/plane_corrected_afm/6094/N6094_1um_edge_006/N6094_1um_edge_006_plane_corrected.npy,5.598615646362305,test
6099,6099,N6099_1um_000,data/plane_corrected_afm/6099/N6099_1um_000/N6099_1um_000_plane_corrected.npy,10.19850254058838,test
6099,6099,N6099_1um_001,data/plane_corrected_afm/6099/N6099_1um_001/N6099_1um_001_plane_corrected.npy,10.18814182281494,test
6099,6099,N6099_1um_002,data/plane_corrected_afm/6099/N6099_1um_002/N6099_1um_002_plane_corrected.npy,13.656411170959473,test
6099,6099,N6099_1um_003,data/plane_corrected_afm/6099/N6099_1um_003/N6099_1um_003_plane_corrected.npy,10.32143783569336,test
6099,6099,N6099_1um_004,data/plane_corrected_afm/6099/N6099_1um_004/N6099_1um_004_plane_corrected.npy,10.461413383483888,test
6101,6101,N6101_1um_002,data/plane_corrected_afm/6101/N6101_1um_002/N6101_1um_002_plane_corrected.npy,2.127042770385742,test
6101,6101,N6101_5um_001,data/plane_corrected_afm/6101/N6101_5um_001/N6101_5um_001_plane_corrected.npy,0.7078356742858887,test
6028,6028,N6028_1um_003,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,6.20236873626709,train
6028,6028,N6028_1um_004,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,6.072564601898193,train
6028,6028,N6028_500_nm_006,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,2.3199470043182373,train
6029,6029,N6029_1um_007,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,2.2897632122039795,train
6029,6029,N6029_1um_008,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,2.561024904251098,train
6029,6029,N6029_500_nm_010,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,2.96561598777771,train
6047,6047,N6047_1um_006,data/plane_corrected_afm/6047/N6047_1um_006/N6047_1um_006_plane_corrected.npy,5.579325199127197,train
