sample_id,source
6028,frozen_historical
6029,frozen_historical
6033,frozen_historical
6047,frozen_historical
6048,frozen_historical
6056,frozen_historical
6057,frozen_historical
6062,frozen_historical
6063,frozen_historical
6070,frozen_historical
6072,frozen_historical
6078,frozen_historical
6080,frozen_historical
6081,frozen_historical
6082,frozen_historical
6084,frozen_historical
6085,frozen_historical
6090,frozen_historical
6094,frozen_historical
6095,frozen_historical
6101,frozen_historical
6358,added_extra_five
6382,added_extra_five
