node_id,sample_id,track,operation,tensor_name,shape,dtype,device,min,max,mean,std,source_file,source_function,notes
A01,6081,low_true_rq,read source keyframe PNG,raw_png_rgb,"[1080, 1920, 3]",uint8,cpu,0,167,16.3925401878,35.7218479633,clip_cache.py,frame_path/luminance_uint8,/Users/ziyi/Desktop/LAB/code/data/rheed_keyframe_selection/6081/videos/After rampong for GaSb/frames/135.png
A02,6081,low_true_rq,convert RGB to luminance,grayscale_uint8,"[1080, 1920]",uint8,cpu,0,76,9.26111448688,12.8842896065,clip_cache.py,luminance_uint8,
A03,6081,low_true_rq,manual ROI crop,roi_crop_uint8,"[772, 447]",uint8,cpu,0,46,28.1910027703,9.39780083093,clip_cache.py,build_clip_cache/_read_variant_frames,"xywh=[717, 127, 447, 772]"
A04,6081,low_true_rq,resize ROI and zero-pad to square,keyframe_1_frames_uint8,"[1, 224, 224]",uint8,cpu,0,44,16.3607302296,15.6444488542,phase2_clip_variants.py,_read_variant_frames/build_clip_variants,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6081.npz
A05,6081,low_true_rq,"scale uint8 to [0,1] and duplicate luminance to RGB",dino_rgb_float,"[1, 3, 224, 224]",float32,cpu,0,0.172549024224,0.0641597285982,0.0613507821471,pretrained_embeddings.py,preprocess_frames,
A06,6081,low_true_rq,ImageNet normalization,dino_normalized_input,"[1, 3, 224, 224]",float32,cpu,-2.11790394783,-1.03755986691,-1.70210246896,0.302863749271,pretrained_embeddings.py,preprocess_frames,"DINO input shape [T=1,C=3,H=224,W=224]"
A07,6081,low_true_rq,DINOv2 ViT-S/14 patch projection,dino_patch_tokens,"[1, 256, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,load_dino,"shape recovered from dinov2_vits14 identifier: 224/14=16, 16*16=256 patches"
A08,6081,low_true_rq,prepend CLS token and transformer blocks,dino_token_sequence,"[1, 257, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,load_dino,upstream DINO weights are not copied in freeze; tensor values are not re-executed
A09,6081,low_true_rq,DINO CLS/frame embedding,dino_cls_output,"[1, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,extract_embeddings,shape recovered from DINO ViT-S/14; values not serialized separately
A10,6081,low_true_rq,temporal aggregation mean/std/delta/slope,final_rheed_embedding,"[1, 1536]",float32,cpu,-8.29946041107,6.23043870926,0.010457039915,1.20865904056,pretrained_embeddings.py,temporal_aggregate,keyframe_1 final dim = 4 * 384 = 1536; std/delta/slope components are zero for T=1
Q01,6081,low_true_rq,member feature scaling,feature_scaler_outputs,"[5, 1536]",float32,cpu,-2.82633447647,2.60950183868,-0.00498359841064,0.628616039863,build_final_paper_freeze.py,fit_full_cohort_quantitative,one row per ensemble member
Q02,6081,low_true_rq,ridge member scalar outputs,ensemble_member_outputs,[5],float32,cpu,1.14473259449,1.27553391457,1.19705312252,0.0640792983737,build_final_paper_freeze.py,fit_full_cohort_quantitative,
Q03,6081,low_true_rq,median aggregation,full_cohort_predicted_rq_q50,[1],float32,cpu,1.14473259449,1.14473259449,1.14473259449,0,build_final_paper_freeze.py,fit_full_cohort_quantitative,full-cohort in-sample for historical samples; not test performance
Q04,6081,low_true_rq,strict OOF fold prediction,strict_oof_predicted_rq_q50,[1],float32,cpu,2.93541407585,2.93541407585,2.93541407585,0,run_phase6a.py,finalists/ensemble_oof_predictions,fold coefficients are not serialized in freeze
Q05,6081,low_true_rq,strict interval quantiles,strict_q10_q50_q90,[3],float32,cpu,0.526422083378,4.97698497772,2.75170352062,1.81693469322,run_phase7a.py,build_conditions,
B01,6081,low_true_rq,assemble predicted descriptor vector,predicted_descriptor_vector,"[1, 11]",float64,cpu,-3.38795780153,14.9949940191,2.87675408584,4.73963626766,run_phase7a.py,condition_for/condition_vector,"rq_nm,ra_nm,robust_height_range_nm,psd_low_fraction,psd_mid_fraction,psd_high_fraction,psd_slope,correlation_length_nm,anisotropy,height_skewness,height_kurtosis"
B02,6081,low_true_rq,load prototype probabilities,prototype_probabilities,"[1, 3]",float32,cpu,0.0500000007451,0.899999976158,0.333333325883,0.400693831082,run_phase7a.py,build_conditions,
B03,6081,low_true_rq,strict OOF representative candidate descriptor bank excluding held-out sample,afm_candidate_matrix,"[22, 11]",float32,cpu,-4.59267902374,149.019607544,5.83073362762,14.329593448,run_phase7a.py,source_rows/rank_sources,
B04,6081,low_true_rq,A3 distance vector,a3_distance_vector,[22],float32,cpu,1.83825719357,6.72312641144,4.34925433181,1.22784041498,run_phase7a.py,rank_sources,sqrt(sum(((candidate-condition)/std(candidate_bank))^2)) + 0.05*abs(candidate_rq-condition_rq)
B05,6081,low_true_rq,select minimum A3 distance with sample_id/scan_id tie-break,selected_source_index,[1],int32,cpu,0,0,0,0,run_phase7a.py,rank_sources/synthesize,source=6056 scan=GdSb_N6056_ctr_013
B06,6081,low_true_rq,load selected historical source AFM,source_afm_centered_nm,"[256, 256]",float32,cpu,-11.1203384399,8.62687492371,-2.66502500068e-08,2.82553553035,run_phase7a.py,read_map/resize_center,data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy
