row_id,sample_id,group_id,split,prototype_id
afm_00001_00571d45e8,6022,6022,train,2
afm_00002_313e18b304,6023,6023,test,5
afm_00003_b76327ec18,6028,6028,test,1
afm_00004_f989167d9f,6029,6029,train,1
afm_00005_2c304fd671,6033,6033,train,1
afm_00006_4b0fb6ea95,6041,6041,train,1
afm_00007_9e449ffc89,6043,6043,train,0
afm_00008_1d28ad0abe,6047,6047,train,1
afm_00009_e897664da5,6048,6048,test,1
afm_00010_758feda8e0,6056,6056,train,1
afm_00011_782d9af833,6057,6057,train,0
afm_00012_ea2686bd44,6058,6058,val,0
afm_00013_d70a92b9a0,6062,6062,val,1
afm_00014_d331d48bc9,6063,6063,test,0
afm_00015_b1b264d3a1,6065,6065,test,0
afm_00016_2c24d35aaa,6066,6066,train,0
afm_00017_eb55d4cc32,6067,6067,train,2
afm_00018_296832d830,6068,6068,val,0
afm_00019_da090957f7,6070,6070,train,1
afm_00020_a424770817,6072,6072,train,2
afm_00021_d59786b32d,6073,6073,train,2
afm_00022_ccd7c49224,6078,6078,val,1
afm_00023_4ec77f0643,6080,6080,train,0
afm_00024_02882b2778,6081,6081,train,3
afm_00025_debcd2803c,6082,6082,train,1
afm_00026_b09d4e118e,6084,6084,train,1
afm_00027_7ff2734851,6085,6085,train,1
afm_00028_4f8516eafb,6087,6087,train,0
afm_00029_5af47546a7,6088,6088,train,4
afm_00030_e9d498a7d5,6090,6090,train,1
afm_00031_c512e3b32c,6093,6093,train,0
afm_00032_1367119090,6094,6094,val,4
afm_00033_abd918912b,6095,6095,train,5
afm_00034_246229e6b5,6097,6097,train,0
afm_00035_c98c41e489,6099,6099,test,0
afm_00036_b9f6601fd1,6101,6101,train,2
