claim,support,evidence
End-to-end pipeline works,SUPPORTED,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329
AFM prior generates realistic representative AFM,SUPPORTED,reports/afm_prior_v4_height_calibrated/20260703_064826/codex_report.md
height calibration improves roughness/range,SUPPORTED,reports/afm_prior_v4_height_calibrated/20260703_064826/calibrated_v2_v3/calibrated_generation_summary.json
RHEED shape-bag features beat mean baseline,NOT_SUPPORTED,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329/strict_descriptor_cv/descriptor_predictability_table.csv
RHEED shape-bag beats metadata-only,WEAK,MVP-10 metadata production input was not selected; MVP-6 metadata baseline is contextual only.
RHEED shape-bag beats brightness-only,UNRELIABLE,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329/negative_controls/negative_control_report.md
negative controls pass,UNRELIABLE,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329/negative_controls/negative_control_summary.json
elongated/bar-like RHEED features correlate with AFM descriptors,WEAK,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329/feature_importance/elongated_bar_feature_report.md
generated AFM differs meaningfully from mean-condition,WEAK,reports/rheed_shape_bag_trustworthy_mvp/20260703_180329/trustworthy_calibrated_v2_generation/trustworthy_generation_summary.json
exact pixel-level AFM reconstruction is possible,NOT_SUPPORTED,MVP-10 is descriptor/prototype prediction plus representative generation only.
