row_id,parent_row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,source_path,source_kind,source_priority,scan_size_um,afm_file_id,metadata_path,metadata_source,height_shape,patch_id,is_patch,metrics_scope,prototype_id
afmv2_9149961336da,afmv2_9149961336da,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_9149961336da.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,physical_height,1,1,N6022_Ctr_000,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected_metadata.json,256x256,full,false,full_image,3
afmv2_2b94d08b24c9,afmv2_2b94d08b24c9,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_2b94d08b24c9.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,physical_height,2,1,N6022_Ctr_002,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected_metadata.json,256x256,full,false,full_image,3
afmv2_dd63941a3127,afmv2_dd63941a3127,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_dd63941a3127.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,physical_height,3,1,N6022_Ctr_004,,metadata_or_path,256x256,full,false,full_image,5
afmv2_5afeb1412332,afmv2_5afeb1412332,6023,6023,val,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_5afeb1412332.npy,data/plane_corrected_afm/6023/N6023_Ctr_000/N6023_Ctr_000_plane_corrected.npy,data/plane_corrected_afm/6023/N6023_Ctr_000/N6023_Ctr_000_plane_corrected.npy,physical_height,4,1,N6023_Ctr_000,data/plane_corrected_afm/6023/N6023_Ctr_000/N6023_Ctr_000_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6023/N6023_Ctr_000/N6023_Ctr_000_plane_corrected_metadata.json,256x256,full,false,full_image,2
afmv2_d1e97556fd64,afmv2_d1e97556fd64,6023,6023,val,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_d1e97556fd64.npy,data/plane_corrected_afm/6023/N6023_Ctr_002/N6023_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6023/N6023_Ctr_002/N6023_Ctr_002_plane_corrected.npy,physical_height,5,1,N6023_Ctr_002,data/plane_corrected_afm/6023/N6023_Ctr_002/N6023_Ctr_002_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6023/N6023_Ctr_002/N6023_Ctr_002_plane_corrected_metadata.json,256x256,full,false,full_image,1
afmv2_452bfe1ab79e,afmv2_452bfe1ab79e,6023,6023,val,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_452bfe1ab79e.npy,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6023/N6023_Ctr_004/N6023_Ctr_004_plane_corrected.npy,physical_height,6,1,N6023_Ctr_004,,metadata_or_path,256x256,full,false,full_image,2
afmv2_71f6caf06442,afmv2_71f6caf06442,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_71f6caf06442.npy,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,physical_height,7,1,N6028_1um_003,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected_metadata.json,256x256,full,false,full_image,2
afmv2_591e6b53adec,afmv2_591e6b53adec,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_591e6b53adec.npy,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,physical_height,8,1,N6028_1um_004,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected_metadata.json,256x256,full,false,full_image,2
afmv2_2ebd99306a7c,afmv2_2ebd99306a7c,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_2ebd99306a7c.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,physical_height,9,1,N6028_500_nm_006,,metadata_or_path,256x256,full,false,full_image,3
afmv2_1b8fbc315bb7,afmv2_1b8fbc315bb7,6029,6029,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_1b8fbc315bb7.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,physical_height,10,1,N6029_1um_007,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected_metadata.json,metadata:data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected_metadata.json,256x256,full,false,full_image,3
