row_id,sample_id,group_id,split,prototype_id,k4_prototype_id,k6_prototype_id,k8_prototype_id
afmv2_9149961336da,6022,6022,train,3,0,3,5
afmv2_2b94d08b24c9,6022,6022,train,3,0,3,5
afmv2_dd63941a3127,6022,6022,train,5,0,5,7
afmv2_5afeb1412332,6023,6023,val,2,1,2,2
afmv2_d1e97556fd64,6023,6023,val,1,3,1,6
afmv2_452bfe1ab79e,6023,6023,val,2,1,2,2
afmv2_71f6caf06442,6028,6028,train,2,1,2,2
afmv2_591e6b53adec,6028,6028,train,2,1,2,2
afmv2_2ebd99306a7c,6028,6028,train,3,0,3,5
afmv2_1b8fbc315bb7,6029,6029,train,3,0,3,5
afmv2_b6afd6753b6f,6029,6029,train,0,2,0,4
afmv2_15df1c3d90e5,6029,6029,train,0,2,0,4
afmv2_88163a0e3cbc,6033,6033,train,0,2,0,3
afmv2_481758407ad2,6033,6033,train,0,2,0,4
afmv2_762c063b5e99,6033,6033,train,0,2,0,4
afmv2_afdd0d0c4561,6033,6033,train,0,2,0,4
afmv2_6d44e9dcdae1,6041,6041,train,0,2,0,4
afmv2_983cedb0c892,6041,6041,train,3,0,3,0
afmv2_f110a882b072,6041,6041,train,3,0,3,0
afmv2_7d3bf3dba450,6043,6043,train,1,3,1,6
afmv2_e610a1897a3b,6043,6043,train,4,1,4,1
afmv2_6e0ba5f31fa8,6043,6043,train,4,1,4,1
afmv2_714120e7bb41,6047,6047,train,2,1,2,2
afmv2_08db02d989d1,6047,6047,train,2,1,2,2
afmv2_d4290c8d7cff,6047,6047,train,2,1,2,2
afmv2_c6c24034d65d,6047,6047,train,3,0,3,0
afmv2_afb928f7556a,6047,6047,train,3,0,3,0
afmv2_63cdae8de7df,6047,6047,train,3,0,3,5
afmv2_4736adbc1b93,6048,6048,test,0,2,0,3
afmv2_e66b501502c9,6048,6048,test,3,0,3,5
afmv2_498985317862,6056,6056,val,0,2,0,4
afmv2_bafdac06938e,6056,6056,val,3,2,3,0
