figure,panel,public_sample_id,internal_growth_run_id,asset_role,snapshot_path,sha256,source_type,processing_and_claim_boundary
Figure 1,a,23,N6342,RHEED clip,source_snapshots/sample_23_rheed_clip.npz,b40668b74e6e0a65645d4d29fa2283708883e9c93a46ed691f3484cb5d30f5a4,real automatically selected RHEED frames,"frames 1661-1676; display-only contrast normalization"
Figure 1,c,23,N6342,generated AFM,source_snapshots/sample_23_generated_loocv.npz,0de31097944eab6ea89ec89938ecaefbcf2101077044c21be42d4af5149d4954,M17b strict outer-LOO output,"realization seed 1; nonretrieval; measured AFM unavailable at inference"
Figure 1,c,23,N6342,measured AFM,source_snapshots/sample_23_measured_afm.npy,da1a1d1078953919dbbcd4eabd44943935f6bc162fca4fdd693ee4e89dde8433,measured third-order line-flattened AFM,"evaluation only; 1 µm scan; never passed to inference"
Figure 2,a,23,N6342,RHEED clip,source_snapshots/sample_23_rheed_clip.npz,b40668b74e6e0a65645d4d29fa2283708883e9c93a46ed691f3484cb5d30f5a4,real automatically selected RHEED frames,"16 orientation-locked frames"
Figure 2,b,23,N6342,generated AFM ensemble,source_snapshots/sample_23_generated_loocv.npz,0de31097944eab6ea89ec89938ecaefbcf2101077044c21be42d4af5149d4954,M17b strict outer-LOO output,"four stored stochastic realizations; no retrieval; no measured patch"
Figure 3,a-row1,23,N6342,RHEED clip,source_snapshots/sample_23_rheed_clip.npz,b40668b74e6e0a65645d4d29fa2283708883e9c93a46ed691f3484cb5d30f5a4,real automatically selected RHEED frames,"displayed key frame 1668"
Figure 3,a-row1,23,N6342,generated AFM,source_snapshots/sample_23_generated_loocv.npz,0de31097944eab6ea89ec89938ecaefbcf2101077044c21be42d4af5149d4954,M17b strict outer-LOO output,"representative stochastic realization; not pixel registered"
Figure 3,a-row1,23,N6342,measured AFM,source_snapshots/sample_23_measured_afm.npy,da1a1d1078953919dbbcd4eabd44943935f6bc162fca4fdd693ee4e89dde8433,measured third-order line-flattened AFM,"evaluation only; 1 µm scan"
Figure 3,a-row2,04,6033,RHEED clip,source_snapshots/sample_04_rheed_clip.npz,099b99385db4ee782d0e6c6d0f2fc346e15a812845220927b74214877b1312e3,real automatically selected RHEED frames,"displayed key frame 363"
Figure 3,a-row2,04,6033,generated AFM,source_snapshots/sample_04_generated_loocv.npz,fd78abf1669e6a78988d5b8d656c7ada71be58f752b2311ff1fc46b259af9cb1,M17b strict outer-LOO output,"representative stochastic realization; not pixel registered"
Figure 3,a-row2,04,6033,measured AFM,source_snapshots/sample_04_measured_afm.npy,f141b1b45186950f1677401b88ef6274ca5375263f2e38d9100d47714100f8a6,measured third-order line-flattened AFM,"N6033_1um_016; evaluation only; 1 µm scan"
Figure 3,a-row3,20,6095,RHEED clip,source_snapshots/sample_20_rheed_clip.npz,1ce008ed73c3a0ffc91bdcd5ad1455afacb42284ffdf882abaa5e6ae2ea57ad2,real automatically selected RHEED frames,"displayed key frame 182"
Figure 3,a-row3,20,6095,generated AFM,source_snapshots/sample_20_generated_loocv.npz,f8c47e45b2ec26ebd31e5d01b03ed8e50b06920fd0fd4d554f2301a49e6b0409,M17b strict outer-LOO output,"representative stochastic realization; not pixel registered"
Figure 3,a-row3,20,6095,measured AFM,source_snapshots/sample_20_measured_afm.npy,27161f35ec0c7ed41a703638c00468dfc6cbf3a1c501c29967fad613a80a83f0,measured third-order line-flattened AFM,"N6095_100_nm_001; evaluation only; 1 µm scan"
