outer_fold,held_growth_run_id,held_source_split,outer_fit_growth_count,outer_fit_growth_run_ids,fit_growth_count,fit_growth_run_ids,morphology_fit_growth_count,morphology_fit_growth_run_ids,morphology_excluded_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
10,6070,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.27737593650818
11,6072,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.00482988357544
12,6078,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,21.83949637413025
13,6080,val,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,21.993875741958618
14,6082,test,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.329896926879883
15,6084,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.09423017501831
16,6085,val,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.863360166549683
17,6090,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.578840970993042
18,6094,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,22.41569209098816
19,6095,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,13.618880987167358
20,6099,val,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,13.52261996269226
