row_id,parent_row_id,sample_id,group_id,split,network_input_path,descriptor_height_path,source_path,source_kind,prototype_id,height_mean,cond_height_mean,height_std,cond_height_std,rq,cond_rq,ra,cond_ra,peak_to_valley,cond_peak_to_valley,p01,cond_p01,p05,cond_p05,p50,cond_p50,p95,cond_p95,p99,cond_p99,robust_range,cond_robust_range,skewness,cond_skewness,kurtosis,cond_kurtosis,mean_abs_gradient,cond_mean_abs_gradient,gradient_std,cond_gradient_std,gradient_orientation_entropy,cond_gradient_orientation_entropy,gradient_anisotropy,cond_gradient_anisotropy,psd_low_power,cond_psd_low_power,psd_mid_power,cond_psd_mid_power,psd_high_power,cond_psd_high_power,psd_slope,cond_psd_slope,autocorrelation_length_px,cond_autocorrelation_length_px,island_coverage,cond_island_coverage,island_count,cond_island_count,island_mean_area_px,cond_island_mean_area_px,height_min,cond_height_min,height_max,cond_height_max,slope_p50,cond_slope_p50,slope_p95,cond_slope_p95,slope_p99,cond_slope_p99,psd_peak_frequency,cond_psd_peak_frequency,island_mean_height,cond_island_mean_height
afmv2_9149961336da,afmv2_9149961336da,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_9149961336da.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_000/N6022_Ctr_000_plane_corrected.npy,physical_height,3,9.436315618e-11,-5.285820392e-11,1.649340272,-0.8141590822,1.649340272,-0.8141590822,1.30284512,-0.8505411876,13.70649719,-0.7954198021,-4.308459282,0.742079982,-2.972831726,0.7470134902,0.1861962229,-0.0811182143,2.340831757,-0.7988867007,3.215019703,-0.8357894416,7.523479462,-0.790492834,-0.5425136685,-0.6427956477,3.307380676,-0.3187974472,0.2319792211,-0.7910082399,0.2811472714,-0.7970598835,0.9953555465,0.3321572954,0.2892287672,1.913017266,12.08788109,-1.513808886,7.555912971,-1.25369801,5.450165272,-0.7117472924,-3.320037603,0.6225566397,14,0.4026634617,0.25,0,87,0.05572477464,188.3218384,-0.3016956004,-7.741127491,0.8430809919,5.965369701,-0.7170675476,0.1324927062,-0.7606649887,0.8628726006,-0.7880638181,1.409132838,-0.7443883025,0.01235264726,-0.2470116396,1.926977038,-0.8637703576
afmv2_2b94d08b24c9,afmv2_2b94d08b24c9,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_2b94d08b24c9.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_002/N6022_Ctr_002_plane_corrected.npy,physical_height,3,-1.383840265e-10,-2.856053866e-10,1.878184676,-0.727152567,1.878184676,-0.727152567,1.43787992,-0.7791255134,18.25694466,-0.540590451,-5.010040283,0.6533808205,-3.637019396,0.6131249466,0.2969724834,0.2986929895,2.591486216,-0.7444559738,3.419586658,-0.8043524284,8.429627419,-0.7271494382,-0.9756909609,-1.765095356,5.085091591,0.9481007004,0.2690547407,-0.7415218915,0.3227209747,-0.7039082714,0.991348207,-1.791223754,0.1827747077,0.3445320462,12.20654392,-1.372855603,7.471418858,-1.361179796,5.469112873,-0.6898604429,-3.363362551,0.4958802437,12,0.1377532862,0.25,0,94,0.2080973506,174.2978668,-0.3852335656,-13.04181004,0.27949391,5.215135574,-0.8028093196,0.1500295401,-0.7359374445,0.9959958792,-0.7015652436,1.553363085,-0.6702559358,0.015625,0.0343223674,2.069593191,-0.8167805208
afmv2_dd63941a3127,afmv2_dd63941a3127,6022,6022,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_dd63941a3127.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,data/plane_corrected_afm/6022/N6022_Ctr_004/N6022_Ctr_004_plane_corrected.npy,physical_height,5,-1.662331661e-10,-3.134545262e-10,1.35970819,-0.9242770389,1.35970819,-0.9242770389,0.9400447011,-1.04241496,18.9752636,-0.5003639127,-4.268743038,0.7471012091,-2.265856266,0.889527299,0.04228600487,-0.5745336167,1.996894479,-0.8735742054,3.242275953,-0.8316008125,7.51101923,-0.7913638545,-1.210529327,-2.373527595,10.08185768,4.509081087,0.2568888664,-0.7577602261,0.2894545496,-0.7784462817,0.9970954061,1.254061941,0.1650240123,0.08299478303,12.00867462,-1.607894052,7.708312511,-1.059836282,5.410889149,-0.7571161279,-3.058968782,1.385887212,8,-0.3920670648,0.25,0,144,1.296472893,113.7777786,-0.7457395026,-14.49879551,0.1245821262,4.476467609,-0.8872292333,0.1593751907,-0.722759753,0.8543720841,-0.7935871388,1.460620284,-0.7179244622,0.02103579976,0.4995050963,1.53204155,-0.9938955486
afmv2_71f6caf06442,afmv2_71f6caf06442,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_71f6caf06442.npy,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_1um_003/N6028_1um_003_plane_corrected.npy,physical_height,2,-3.915803237e-10,-5.388016838e-10,6.202368736,0.9168998096,6.202368736,0.9168998096,4.842485905,1.021463904,44.25275803,0.9151996215,-17.34836388,-0.9065231044,-10.84336948,-0.8395483874,0.478120774,0.9197840971,9.540649414,0.7645856213,13.20585537,0.6995613337,30.5542202,0.8194488055,-0.336951673,-0.1102142504,3.639722109,-0.08195199485,1.051611185,0.3029910717,0.9815840125,0.7723651726,0.9936459661,-0.5737032198,0.1058655456,-0.7886411235,14.70058632,1.589685116,9.699593544,1.473197489,6.382279873,0.3649616795,-3.966100693,-1.266446063,10,-0.1271568893,0.25,0,37,-1.032650768,442.8108215,1.214243851,-21.53756714,-0.6238046573,22.71519089,1.197214005,0.7574448586,0.120539227,3.128942966,0.6843447522,4.228566647,0.7047619633,0.00390625,-0.9731738153,7.341983795,0.9203913843
afmv2_591e6b53adec,afmv2_591e6b53adec,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_591e6b53adec.npy,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_1um_004/N6028_1um_004_plane_corrected.npy,physical_height,2,-5.373132494e-10,-6.845346095e-10,6.072564602,0.86754835,6.072564602,0.86754835,4.71369648,0.9533512133,40.57301331,0.7091304458,-18.4443264,-1.045082952,-11.21739292,-0.9149449295,0.8372269869,2.151027708,8.277625084,0.4903142889,13.2637558,0.708459235,31.7080822,0.9001084118,-0.6345642209,-0.8812853145,3.735020161,-0.01403716994,1.036756992,0.2831645183,0.9934601784,0.7989753592,0.9950513244,0.170958215,0.07430294901,-1.253681785,14.63207722,1.508306789,9.659878731,1.422677768,7.098858356,1.192699471,-3.710999966,-0.5205654048,10,-0.1271568893,0.25,0,40,-0.9673482355,409.6000061,1.016413734,-21.35264206,-0.604142777,19.22037125,0.7978026507,0.7242062688,0.07367166224,3.149102688,0.6974437927,4.269076347,0.7255833929,0.00390625,-0.9731738153,6.890043736,0.7714840608
afmv2_2ebd99306a7c,afmv2_2ebd99306a7c,6028,6028,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_2ebd99306a7c.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,data/plane_corrected_afm/6028/N6028_500_nm_006/N6028_500_nm_006_plane_corrected.npy,physical_height,3,-1.081919554e-10,-2.554133155e-10,2.319947004,-0.5591947754,2.319947004,-0.5591947754,1.810980201,-0.5818044663,19.10214043,-0.4932586906,-5.850485325,0.5471254197,-3.959911585,0.5480355647,0.09507948905,-0.3935241054,3.704199553,-0.5028253398,5.451411724,-0.4921098598,11.30189705,-0.5263662097,-0.1178804263,0.4573676627,3.379155159,-0.2676468587,0.5004560351,-0.4326602708,0.4254820943,-0.4736578198,0.9952389598,0.2703811495,0.1476109177,-0.1735682982,13.11231613,-0.2969368235,8.009672165,-0.6764879912,5.430478096,-0.7344884436,-3.625305414,-0.2700059117,8,-0.3920670648,0.25,0,99,0.3169349049,165.4949493,-0.4376707665,-10.62945938,0.5359834576,8.472681999,-0.4305151346,0.3833782971,-0.4069076018,1.34730351,-0.4732985603,2.028012514,-0.4262926465,0.02277715504,0.649214647,2.874405861,-0.5516070797
afmv2_1b8fbc315bb7,afmv2_1b8fbc315bb7,6029,6029,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_1b8fbc315bb7.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_007/N6029_1um_007_plane_corrected.npy,physical_height,3,1.994294729e-10,5.22081128e-11,2.289763212,-0.5706706363,2.289763212,-0.5706706363,1.800530076,-0.58733121,18.7972908,-0.5103305574,-6.318114281,0.4880042402,-4.055452824,0.5287761326,0.1754730195,-0.1178841493,3.388166189,-0.5714533858,4.588794708,-0.6246733158,10.90690899,-0.5539774677,-0.4839827716,-0.4911505599,3.426141024,-0.2341620526,0.4939815402,-0.4413020677,0.4190736115,-0.4880169088,0.9928486943,-0.9961560295,0.2118923813,0.7735494167,13.00795555,-0.4209012227,7.692182541,-1.080354611,5.146190643,-1.062876016,-3.689728737,-0.4583711552,8,-0.3920670648,0.25,0,94,0.2080973506,174.2978668,-0.3852335656,-12.3357296,0.3545668485,6.461560726,-0.6603595198,0.3751884401,-0.4184555843,1.330717325,-0.4840756488,1.94848001,-0.4671712615,0.02277715504,0.649214647,2.728583336,-0.599653367
afmv2_b6afd6753b6f,afmv2_b6afd6753b6f,6029,6029,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_b6afd6753b6f.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_1um_008/N6029_1um_008_plane_corrected.npy,physical_height,0,3.927833614e-10,2.455620013e-10,2.561024904,-0.4675370918,2.561024904,-0.4675370918,2.040818691,-0.4602500912,23.36707687,-0.2544182265,-6.172577858,0.5064040524,-4.100782871,0.519638393,-0.09734538198,-1.053278475,4.232290745,-0.3881479964,6.073080063,-0.3965744114,12.24565792,-0.4603935196,-0.01376084425,0.7271264397,3.191053152,-0.4016990728,0.4797559679,-0.460289573,0.4192468822,-0.4876286719,0.9938213229,-0.4807863841,0.06799653172,-1.346600011,13.11507225,-0.2936629747,7.893938065,-0.8237089906,4.773731232,-1.493113231,-3.95786953,-1.242379235,10,-0.1271568893,0.25,0,62,-0.4884629967,264.2580566,0.1506411081,-15.26526642,0.04308826202,8.101810455,-0.4729008142,0.3781504631,-0.4142790291,1.305779815,-0.5002791189,1.933457851,-0.474892445,0.00390625,-0.9731738153,3.291283131,-0.4142524079
afmv2_15df1c3d90e5,afmv2_15df1c3d90e5,6029,6029,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_15df1c3d90e5.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,data/plane_corrected_afm/6029/N6029_500_nm_010/N6029_500_nm_010_plane_corrected.npy,physical_height,0,-6.166578359e-11,-2.088871437e-10,2.965615988,-0.3137117865,2.965615988,-0.3137117865,2.33698535,-0.3036168261,20.98334122,-0.3879096717,-6.791986465,0.4280937447,-4.922605991,0.3539733174,0.04803492129,-0.554822689,4.459757805,-0.3387525159,8.014019966,-0.09829870309,14.80600643,-0.2814148352,0.05490388349,0.9050268174,3.225960732,-0.3768219412,0.5496960878,-0.3669373779,0.4844783545,-0.3414685677,0.9936721921,-0.5598067702,0.07693579048,-1.214889719,13.39273357,0.03615618421,8.298558235,-0.3090068778,5.543723583,-0.6036757391,-3.79101491,-0.7545184782,10,-0.1271568893,0.25,0,56,-0.6190680618,292.5714417,0.3192982223,-11.1867485,0.476730532,9.796593666,-0.2792096578,0.4300055504,-0.3411615571,1.499076843,-0.3746818714,2.235438108,-0.3196787392,0.00390625,-0.9731738153,3.70490551,-0.2779701727
afmv2_88163a0e3cbc,afmv2_88163a0e3cbc,6033,6033,train,reports/afm_prior_v2/20260703_052537/data_smoke/standardized_tensors/afmv2_88163a0e3cbc.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,data/plane_corrected_afm/6033/N6033_1um_015/N6033_1um_015_plane_corrected.npy,physical_height,0,-6.168777711e-10,-7.640991312e-10,3.834280968,0.0165541562,3.834280968,0.0165541562,3.051913023,0.07448601702,24.8898716,-0.169140285,-7.845112324,0.294949631,-5.714733601,0.1942943339,-0.2573301196,-1.601807515,6.961482525,0.2045080975,10.35192013,0.260980235,18.19703293,-0.04436840991,0.4240811467,1.861511708,3.124364614,-0.449225127,0.5051560402,-0.4263869645,0.4145940244,-0.4980540411,0.9922487736,-1.314037818,0.1230760589,-0.5350628582,13.4281168,0.07818604691,8.692502022,0.1921142095,5.211880684,-0.986995801,-3.90513587,-1.088193014,45,4.508771182,0.25,0,22,-1.359163431,744.7272949,3.012699279,-10.43581676,0.5565722173,14.45405579,0.253076253,0.406221658,-0.3746976705,1.294662118,-0.5075029866,1.953563929,-0.464558197,0.00390625,-0.9731738153,5.110672951,0.1852086558
