descriptor_a,descriptor_b,pearson,count
rq,ra,0.9947088741373803,36
rq,robust_range,0.9784489357012078,36
rq,mean_abs_gradient,0.7051575111758619,36
rq,gradient_std,0.8049696532085839,36
rq,gradient_anisotropy,-0.05135643761171023,36
rq,psd_low_power,0.804774955316395,36
rq,psd_mid_power,0.8231109714428357,36
rq,psd_high_power,0.4638454211435633,36
rq,psd_slope,-0.4674651414035387,36
rq,autocorrelation_length_px,0.04716521110105211,36
rq,island_count,-0.4005930001827342,36
rq,island_mean_area_px,0.24506686314191395,36
ra,robust_range,0.9528784905634736,36
ra,mean_abs_gradient,0.7240085875825059,36
ra,gradient_std,0.8089689660302789,36
ra,gradient_anisotropy,-0.05408670961617334,36
ra,psd_low_power,0.8051836888463304,36
ra,psd_mid_power,0.8230119746895643,36
ra,psd_high_power,0.4725116220208374,36
ra,psd_slope,-0.45266089102838647,36
ra,autocorrelation_length_px,0.045246660596058,36
ra,island_count,-0.39057466611259556,36
ra,island_mean_area_px,0.23783089522377684,36
robust_range,mean_abs_gradient,0.6458703906865676,36
robust_range,gradient_std,0.7679450041428071,36
robust_range,gradient_anisotropy,-0.03998397867273592,36
robust_range,psd_low_power,0.7825418112693845,36
robust_range,psd_mid_power,0.7974052286235334,36
robust_range,psd_high_power,0.42245084484972567,36
robust_range,psd_slope,-0.49715928583677954,36
robust_range,autocorrelation_length_px,0.05064109641450895,36
robust_range,island_count,-0.4140162073046747,36
robust_range,island_mean_area_px,0.25386338377937906,36
mean_abs_gradient,gradient_std,0.9524043582804209,36
mean_abs_gradient,gradient_anisotropy,-0.05328940663547753,36
mean_abs_gradient,psd_low_power,0.6104688212262069,36
mean_abs_gradient,psd_mid_power,0.5787443272512311,36
mean_abs_gradient,psd_high_power,0.43510399681101586,36
mean_abs_gradient,psd_slope,-0.1363976555000829,36
mean_abs_gradient,autocorrelation_length_px,-0.29981798063625387,36
mean_abs_gradient,island_count,-0.2592459041031458,36
mean_abs_gradient,island_mean_area_px,-0.17074475653478413,36
gradient_std,gradient_anisotropy,-0.10572786399538082,36
gradient_std,psd_low_power,0.7024405303298007,36
gradient_std,psd_mid_power,0.6689481626650832,36
gradient_std,psd_high_power,0.5386368670947881,36
gradient_std,psd_slope,-0.16871649916885392,36
gradient_std,autocorrelation_length_px,-0.3368711812714823,36
gradient_std,island_count,-0.29343949301465555,36
gradient_std,island_mean_area_px,-0.14790914929266633,36
gradient_anisotropy,psd_low_power,-0.09546896832449699,36
gradient_anisotropy,psd_mid_power,-0.09323926626488258,36
gradient_anisotropy,psd_high_power,-0.41713628627534244,36
gradient_anisotropy,psd_slope,-0.30929601599875306,36
gradient_anisotropy,autocorrelation_length_px,0.3232932992785996,36
gradient_anisotropy,island_count,-0.3559213117323293,36
gradient_anisotropy,island_mean_area_px,0.5203256199545193,36
psd_low_power,psd_mid_power,0.9473844832142513,36
psd_low_power,psd_high_power,0.6204405728711992,36
psd_low_power,psd_slope,-0.49269484601099295,36
psd_low_power,autocorrelation_length_px,-0.08273502392439996,36
psd_low_power,island_count,-0.26266919534552546,36
psd_low_power,island_mean_area_px,0.09680493972925255,36
psd_mid_power,psd_high_power,0.6989949427887792,36
psd_mid_power,psd_slope,-0.34744105371597495,36
psd_mid_power,autocorrelation_length_px,0.06090791334161049,36
psd_mid_power,island_count,-0.1397367514517042,36
psd_mid_power,island_mean_area_px,0.18870067319896885,36
psd_high_power,psd_slope,0.34091483640399717,36
psd_high_power,autocorrelation_length_px,-0.2531423773465791,36
psd_high_power,island_count,0.3268614831246039,36
psd_high_power,island_mean_area_px,-0.26455568666997004,36
psd_slope,autocorrelation_length_px,-0.24363892322387493,36
psd_slope,island_count,0.6586911523795976,36
psd_slope,island_mean_area_px,-0.4253575159733818,36
autocorrelation_length_px,island_count,-0.12408749879445749,36
autocorrelation_length_px,island_mean_area_px,0.6812616693149784,36
island_count,island_mean_area_px,-0.2691730524769559,36
