anonymous_review_id,anonymous_pair_id,pair_label,spot_centers_correct,same_physical_row,true_adjacent_neighbors,corridor_correct,background_regions_clean,label_confidence,unusable_reason,reviewer_notes
RPSA_AE_ggajacin,RPSA_AE_ggajacin_lp000,unusable,no,uncertain,uncertain,yes,no,high,The right endpoint is not a distinct visible diffraction peak; the crop is dominated by a strong illumination/halo gradient.,"The orange corridor is geometrically plausible, but the visual evidence does not support a valid two-spot pair."
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp002,connected,uncertain,yes,yes,yes,no,medium,,A high-intensity continuous band connects the endpoints; the top background region is contaminated by neighboring bright intensity.
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp001,partial,uncertain,yes,uncertain,yes,no,low,,"The valley remains above the surrounding background, but the two peaks are poorly separated and the right endpoint is weak."
RPSA_AG_baoiigch,RPSA_AG_baoiigch_lp000,connected,uncertain,yes,uncertain,yes,no,medium,,A persistent horizontal bright band extends from the strong left peak toward the weak right endpoint; background halo limits endpoint certainty.
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp000,connected,uncertain,yes,yes,yes,no,medium,,The pair is almost fully merged into a broad horizontal high-intensity structure. Exact peak centers are difficult to distinguish.
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp003,connected,uncertain,yes,yes,yes,no,high,,Strong continuous horizontal intensity spans the endpoints with no meaningful dark valley.
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp004,connected,yes,yes,yes,yes,no,high,,"The endpoints are embedded in a bright, continuous horizontal band; broad halo contaminates the nominal background regions."
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp001,connected,uncertain,yes,yes,yes,no,medium,,"The bridge is visibly strong and continuous, although the weaker right peak is not sharply separated."
RPSA_AH_nkdpolif,RPSA_AH_nkdpolif_lp002,unusable,no,uncertain,uncertain,uncertain,no,high,The endpoints are not two clear local maxima; the crop is a sloped diffuse region with strong surrounding contamination.,Do not use this crop to calibrate connected versus isolated.
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp003,unusable,no,uncertain,uncertain,no,no,high,Both endpoints lie in a low-contrast dark region below an unrelated bright feature; no credible pair of spots is visible.,The selected corridor does not represent visible neighboring diffraction peaks.
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp001,partial,uncertain,yes,uncertain,yes,no,low,,"A moderate horizontal intensity bridge is present, but the right endpoint is not a sharply defined peak."
RPSA_AJ_kkcocpbj,RPSA_AJ_kkcocpbj_lp000,partial,uncertain,yes,uncertain,yes,no,low,,The intensity decays gradually from the strong left peak toward a weak right feature; a bridge is visible but endpoint validity is uncertain.
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp002,connected,uncertain,yes,yes,yes,no,medium,,The corridor contains a broad elevated plateau with little return toward local background.
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp005,partial,uncertain,yes,uncertain,yes,no,medium,,"A visible moderate bridge connects the endpoints, but both the right peak and background estimate are weakly defined."
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp004,connected,uncertain,yes,yes,yes,no,medium,,The pair forms a continuous elongated horizontal feature; spot maxima are partially merged.
RPSA_AM_ignmbald,RPSA_AM_ignmbald_lp001,partial,uncertain,yes,uncertain,yes,no,low,,"The left peak is clear and the corridor remains brighter than surrounding background, but the right endpoint is diffuse."
RPSA_AR_jajjnhge,RPSA_AR_jajjnhge_lp004,unusable,no,uncertain,uncertain,uncertain,no,high,The crop is dominated by an off-frame bright source and a monotonic gradient; the right endpoint is not a distinct spot.,No reliable connected/partial/isolated label should be assigned.
RPSA_AR_jajjnhge,RPSA_AR_jajjnhge_lp000,connected,uncertain,yes,yes,yes,no,medium,,"The entire pair corridor is a bright merged horizontal band, with saturation and halo limiting precise peak localization."
RPSA_AU_ghfpcpef,RPSA_AU_ghfpcpef_lp004,connected,uncertain,yes,yes,yes,no,medium,,The endpoints lie within a strongly merged bright structure; background regions are also bright and therefore not clean.
RPSA_AU_ghfpcpef,RPSA_AU_ghfpcpef_lp005,partial,uncertain,yes,uncertain,yes,no,medium,,A moderate continuous bridge is visible from the strong left peak to a weaker right feature.
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp000,connected,uncertain,yes,yes,yes,no,medium,,A strong horizontal band spans the two endpoints; broad surrounding intensity contaminates the offset background regions.
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp002,unusable,no,uncertain,uncertain,uncertain,no,high,The left endpoint is not a distinct local maximum and the crop is primarily a monotonic intensity gradient toward the right peak.,This is not a defensible two-spot adhesion example.
RPSA_AY_kfiiknbk,RPSA_AY_kfiiknbk_lp004,partial,uncertain,yes,uncertain,yes,no,medium,,"A visible bridge remains above surrounding background, but the right endpoint is weak and the pair is not cleanly separated."
