anonymous_review_id,spot_detection,row_grouping,lattice_indexing,missing_site_handling,adjacent_pair_selection,pair_corridors,background_correction,overall_measurement,severe_saturation,severe_background_artifact,severe_crop,unusable_pattern,reviewer_notes
RPSA_AA_ikicmgid,partial,fail,fail,uncertain,fail,fail,partial,fail,yes,yes,yes,no,"Only the strongest spots are detected; plausible horizontal counterparts are missed. Detected spots are mostly assigned as separate rows/sites, so no useful adjacent-pair measurement is produced. Background correction introduces strong contour/ringing artifacts. Raw pattern remains visually interpretable."
RPSA_AB_gaenbmbn,partial,fail,fail,uncertain,fail,fail,partial,fail,uncertain,yes,yes,no,"Most bright spots are found, but duplicate/overlapping labels and one-spot-per-row behavior indicate incorrect row/lattice inference. Several visible two-column structures are not converted into reliable adjacent pairs. Strong diffuse halo and right-edge crop remain."
RPSA_AC_cemjegco,partial,fail,fail,uncertain,fail,fail,partial,fail,no,yes,yes,no,"Several real spots are detected, but labels overlap around central/right features and do not form physically plausible horizontal rows or lattice sequences. Background subtraction leaves strong banding/contours. Pattern is usable for human inspection but not for the frozen automated measurement."
RPSA_AD_jcmajlff,fail,fail,fail,uncertain,fail,fail,partial,fail,uncertain,yes,yes,no,"The detector retains only a few right-edge maxima while missing multiple visible inner spots. Consequently row, lattice, pair, and corridor outputs are not representative. The broad illumination gradient dominates the corrected image."
RPSA_AE_ggajacin,partial,fail,fail,uncertain,partial,partial,fail,fail,yes,yes,yes,no,Strong overexposure and left-side halo produce clustered/overlapping detections. The reviewed pair uses a right endpoint that is not a distinct visible spot. Background correction is unstable near the bright field and image edge.
RPSA_AF_cdlmlill,partial,fail,fail,uncertain,partial,partial,partial,fail,uncertain,yes,yes,no,"Prominent spots are detected, but row/site labels are crowded and inconsistent, with several detections concentrated around the same broad feature. Some local pairs may be measurable, but the global row/lattice reconstruction is unreliable."
RPSA_AG_baoiigch,partial,fail,fail,uncertain,partial,partial,fail,fail,yes,yes,yes,no,"Several useful local pairs are present, but the full QC overlay shows duplicated/crowded labels and incorrect row/lattice organization. The displayed background-corrected panel is nearly washed out, indicating severe correction/display instability. Pair-level review remains possible for selected crops."
RPSA_AH_nkdpolif,partial,partial,fail,uncertain,partial,partial,partial,partial,yes,yes,yes,no,"This is the strongest of the supplied QC examples: multiple real spot pairs and horizontal bands are detected. However, overlapping labels, duplicate-looking detections, and inconsistent lattice indices remain. Several pair corridors are usable, while at least one low-signal pair is not."
RPSA_AI_oemcpgpf,fail,fail,fail,uncertain,fail,fail,fail,fail,yes,yes,yes,uncertain,"The frame is heavily washed out. Detections and r:k labels cluster along the right edge, many visible structures are missed or merged, and no trustworthy pair topology is apparent. Human morphology judgment is possible only with low confidence."
RPSA_AJ_kkcocpbj,partial,fail,fail,uncertain,partial,partial,partial,fail,no,yes,yes,no,"The full QC page confirms that several prominent spots are detected, but detections and r:k labels overlap around broad right-side features and the inferred rows/lattice sites are not physically consistent. A few local pair crops remain judgeable, but the frozen full-image topology and sample-level adhesion aggregation are not reliable. Background correction shows strong contour/ringing artifacts and the right-side pattern is cropped."
