sample_id,heldout_id,training_ids
6022,6022,"[""6028"", ""6029"", ""6033"", ""6047"", ""6048"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6028,6028,"[""6022"", ""6029"", ""6033"", ""6047"", ""6048"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6029,6029,"[""6022"", ""6028"", ""6033"", ""6047"", ""6048"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6033,6033,"[""6022"", ""6028"", ""6029"", ""6047"", ""6048"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6047,6047,"[""6022"", ""6028"", ""6029"", ""6033"", ""6048"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6048,6048,"[""6022"", ""6028"", ""6029"", ""6033"", ""6047"", ""6056"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6056,6056,"[""6022"", ""6028"", ""6029"", ""6033"", ""6047"", ""6048"", ""6057"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6057,6057,"[""6022"", ""6028"", ""6029"", ""6033"", ""6047"", ""6048"", ""6056"", ""6062"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6062,6062,"[""6022"", ""6028"", ""6029"", ""6033"", ""6047"", ""6048"", ""6056"", ""6057"", ""6063"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
6063,6063,"[""6022"", ""6028"", ""6029"", ""6033"", ""6047"", ""6048"", ""6056"", ""6057"", ""6062"", ""6070"", ""6072"", ""6078"", ""6080"", ""6081"", ""6082"", ""6084"", ""6085"", ""6090"", ""6094"", ""6095"", ""6099"", ""6101""]"
