sample_id,growth_run_id,is_primary,is_removed,rheed_metadata_path,source_video,keyframe_index,clip_start_index,clip_end_index,roi_x,roi_y,roi_width,roi_height,second_order_rq_nm,second_order_representative_afm_path,dino_embedding_row_id
6022,6022,True,False,data/rheed_keyframe_selection/6022/metadata.json,data/pair/6022/RHEED/After GaSb.MP4,757,750,765,245,366,249,391,1.6494020223617554,data/afm_second_order/6022/N6022_Ctr_000/N6022_Ctr_000_height.npy,0
6028,6028,True,False,data/rheed_keyframe_selection/6028/metadata.json,data/pair/6028/RHEED/GaSb.MP4,350,343,358,218,308,406,665,5.783085823059082,data/afm_second_order/6028/N6028_1um_003/N6028_1um_003_height.npy,1
6029,6029,True,False,data/rheed_keyframe_selection/6029/metadata.json,data/pair/6029/RHEED/After ramping down GaSb.MOV,69,62,77,283,461,516,811,2.434478998184204,data/afm_second_order/6029/N6029_1um_008/N6029_1um_008_height.npy,2
6033,6033,True,False,data/rheed_keyframe_selection/6033/metadata.json,data/pair/6033/RHEED/15 min of GaSb.MOV,662,655,670,343,466,570,910,2.2941808700561523,data/afm_second_order/6033/N6033_1um_016/N6033_1um_016_height.npy,3
6047,6047,True,False,data/rheed_keyframe_selection/6047/metadata.json,data/pair/6047/RHEED/After rampdown to 200C.MOV,30,23,38,796,160,510,791,3.3492701053619385,data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy,4
6048,6048,True,False,data/rheed_keyframe_selection/6048/metadata.json,data/pair/6048/RHEED/After rampdown.MOV,199,192,207,745,244,477,744,1.9803074598312376,data/afm_second_order/6048/N6048_1um_026/N6048_1um_026_height.npy,5
6056,6056,True,False,data/rheed_keyframe_selection/6056/metadata.json,data/pair/6056/RHEED/After rampdown to 200 C.MOV,161,154,169,684,111,599,894,2.825535535812378,data/afm_second_order/6056/GdSb_N6056_ctr_013/GdSb_N6056_ctr_013_height.npy,6
6057,6057,True,False,data/rheed_keyframe_selection/6057/metadata.json,data/pair/6057/RHEED/GaSb 2 min.MOV,83,76,91,771,342,360,571,4.551929473876953,data/afm_second_order/6057/GdSb_N6057_edge_014/GdSb_N6057_edge_014_height.npy,7
6062,6062,True,False,data/rheed_keyframe_selection/6062/metadata.json,data/pair/6062/RHEED/after rampdown to 300C.MOV,128,121,136,754,201,461,678,3.093057870864868,data/afm_second_order/6062/N62_Ctr_001/N62_Ctr_001_height.npy,8
6063,6063,True,False,data/rheed_keyframe_selection/6063/metadata.json,data/pair/6063/RHEED/rampdown to 300C.MOV,186,179,194,445,263,539,777,5.810209274291992,data/afm_second_order/6063/N63_Ctr_002/N63_Ctr_002_height.npy,9
6070,6070,True,False,data/rheed_keyframe_selection/6070/metadata.json,data/pair/6070/RHEED/rampdown to 300C.MOV,135,128,143,789,220,433,707,2.8089470863342285,data/afm_second_order/6070/N69_Edg_002/N69_Edg_002_height.npy,10
6072,6072,True,False,data/rheed_keyframe_selection/6072/metadata.json,data/pair/6072/RHEED/rampdown to 250C.MOV,327,320,335,660,82,527,815,1.4702255725860596,data/afm_second_order/6072/6072_500_nm_004/6072_500_nm_004_height.npy,11
6078,6078,True,False,data/rheed_keyframe_selection/6078/metadata.json,data/pair/6078/RHEED/GaSb 6 min.MOV,364,357,372,621,251,440,711,1.7082476019859314,data/afm_second_order/6078/N78_Ctr_000/N78_Ctr_000_height.npy,12
6080,6080,True,False,data/rheed_keyframe_selection/6080/metadata.json,data/pair/6080/RHEED/After rampdown to 200C.MOV,46,39,54,714,187,504,790,4.106542229652405,data/afm_second_order/6080/N80_Ctr_000/N80_Ctr_000_height.npy,13
6081,6081,True,False,data/rheed_keyframe_selection/6081/metadata.json,data/pair/6081/RHEED/After rampong for GaSb.MOV,135,128,143,717,127,447,772,1.5293935537338257,data/afm_second_order/6081/N81_Ctr_000/N81_Ctr_000_height.npy,14
6082,6082,True,False,data/rheed_keyframe_selection/6082/metadata.json,data/pair/6082/RHEED/After rampdown to 200C.MOV,39,32,47,525,148,585,805,1.8638947010040283,data/afm_second_order/6082/N6082_1um_001/N6082_1um_001_height.npy,15
6084,6084,True,False,data/rheed_keyframe_selection/6084/metadata.json,data/pair/6084/RHEED/After ramping down to 200C.MOV,241,234,249,777,251,450,709,1.5506356358528135,data/afm_second_order/6084/N6084_1um_005/N6084_1um_005_height.npy,16
