row_id,sample_id,mode,generated_index,generated_std,generated_rq,generated_ra,generated_psd_slope,requested_rq,requested_ra
afm_00012_ea2686bd44,6058,mvp1_predicted,0,0.1808875203,0.1808875301,0.1376502498,-3.592729398,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_predicted,0,0.6374645829,0.637464574,0.5622565446,-4.083823465,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_predicted,1,0.6244089007,0.6244089503,0.5476512904,-4.037163039,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_predicted,2,0.6244022846,0.6244022854,0.5488970589,-3.988112663,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_predicted,3,0.6314382553,0.6314382423,0.5551349722,-4.02951544,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_oracle,0,0.6388042569,0.6388042731,0.5599709232,-4.105889603,4.635928406,3.513551951
afm_00012_ea2686bd44,6058,mvp3_mean,0,0.6206277013,0.6206277045,0.5440718496,-4.066710357,4.635928406,3.513551951
afm_00013_d70a92b9a0,6062,mvp1_predicted,0,0.1880283207,0.1880283179,0.1362340522,-3.618212285,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_predicted,0,0.647387743,0.6473877102,0.5732954674,-4.110038808,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_predicted,1,0.642800808,0.642800788,0.5716445669,-4.062548842,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_predicted,2,0.6350980401,0.6350980104,0.5610852673,-4.005086482,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_predicted,3,0.6359728575,0.635972837,0.5591822209,-4.052992414,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_oracle,0,0.6348203421,0.6348203616,0.5572586165,-4.125432218,4.349701443,3.355345241
afm_00013_d70a92b9a0,6062,mvp3_mean,0,0.6260570288,0.6260570267,0.5496697752,-4.05051824,4.349701443,3.355345241
afm_00018_296832d830,6068,mvp1_predicted,0,0.2256518453,0.2256518533,0.1723710674,-3.727253753,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_predicted,0,0.6259093881,0.625909399,0.5480957122,-3.995199215,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_predicted,1,0.6523426175,0.6523426302,0.5812863054,-4.084606708,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_predicted,2,0.6361550689,0.6361550289,0.5616081529,-4.024663587,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_predicted,3,0.6362206936,0.6362206808,0.5624101958,-3.998530536,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_oracle,0,0.6270044446,0.6270044751,0.5504457148,-4.048718313,4.076393766,3.055574069
afm_00018_296832d830,6068,mvp3_mean,0,0.6449894309,0.6449894298,0.5687331127,-4.107556195,4.076393766,3.055574069
afm_00022_ccd7c49224,6078,mvp1_predicted,0,0.1977105886,0.1977105918,0.1481178539,-3.658151731,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_predicted,0,0.6524204016,0.6524204126,0.577791111,-4.085476798,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_predicted,1,0.637845099,0.6378450807,0.5652481574,-4.068497228,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_predicted,2,0.6425862312,0.6425862263,0.566241703,-4.043760587,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_predicted,3,0.6432504058,0.6432503986,0.5699553122,-4.042612095,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_oracle,0,0.6439384222,0.6439384547,0.5687955079,-4.034612555,4.287966864,3.362812975
afm_00022_ccd7c49224,6078,mvp3_mean,0,0.6408237815,0.6408237896,0.5654163083,-4.109855582,4.287966864,3.362812975
